Number,Road,Type,Load,Location,Track,Final Destination,Track,Train,Moves,Date and Time
2497,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
1747,TCX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
5836,DL&W,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
9519,MDX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
1240,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
1035,DL&W,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
3698,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
9600,P&R,,E,North 4th St,Crane,,,,0,2023/01/10 10:45:40
0420,FGEX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
8024,ER,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
7741,P&R,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
9511,ER,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
7499,FGEX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
5316,PL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
1471,PL,,E,North 4th St,Crane,,,,0,2023/01/10 10:45:40
9774,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
6084,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
1455,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
5974,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
5437,SP,,E,North 4th St,Freight Station,,,,0,2023/01/10 10:45:40
0730,MDX,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
5288,AT&SF,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
4434,ACL,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
5964,NYNH&H,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
6144,B&O,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
1431,PRR,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
6325,PRR,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
9710,MDX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
1976,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
2876,B&A,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
8214,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
6956,NYC,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
5762,NYNH&H,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
0771,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
2279,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
7441,PL,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
0823,NYC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
5377,ER,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
3236,MDX,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
1505,WJ&S,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
5507,WCC,,E,North 4th St,Team Tracks,,,,0,2023/01/10 10:45:40
6550,PGCC,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
3995,DL&W,,E,Pier Float,Float Tracks,,,,0,2023/01/10 10:45:40
